Identifier,Edition Statement,Place of Publication,Date of Publication,Publisher,Title,Author,Contributors,Corporate Author,Corporate Contributors,Former owner,Engraver,Issuance type,Flickr URL,Shelfmarks
206,,London,1879 [1878],S. Tinsley & Co.,Walter Forbes. [A novel.] By A. A,A. A.,"FORBES, Walter.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000000206,British Library HMNTS 12641.b.30.
216,,London; Virtue & Yorston,1868,Virtue & Co.,"All for Greed. [A novel. The dedication signed: A. A. A., i.e. Marie Pauline Rose, Baroness Blaze de Bury.]","A., A. A.","BLAZE DE BURY, Marie Pauline Rose - Baroness",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000000216,British Library HMNTS 12626.cc.2.
218,,Londinium,1869,"Bradbury, Evans & Co.","Love the Avenger. By the author of “All for Greed.” [The dedication signed: A. A. A., i.e. Marie Pauline Rose, Baroness Blaze de Bury.]","A., A. A.","BLAZE DE BURY, Marie Pauline Rose - Baroness",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000000218,British Library HMNTS 12625.dd.1.
472,,\u004c\u006f\u006e\u0064\u006f\u006e,1851,James Darling,"Welsh Sketches, chiefly ecclesiastical, to the close of the twelfth century. By the author of “Proposals for Christian Union” (E. S. A. [i.e. Ernest Appleyard])","A., E. S.","Appleyard, Ernest Silvanus.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000000472,British Library HMNTS 10369.bbb.15.
480,"A new edition, revised, etc.",London,1857,Wertheim & Macintosh,"[The World in which I live, and my place in it. By E. S. A. [i.e. Letitia Willgoss Stone.] Edited by ... J. H. Broome.]","A., E. S.","BROOME, John Henry.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000000480,British Library HMNTS 9007.d.28.
481,"Fourth edition, revised, etc.",London,1875,William Macintosh,"[The World in which I live, and my place in it. By E. S. A. [i.e. Letitia Willgoss Stone.] Edited by ... J. H. Broome.]","A., E. S.","BROOME, John Henry.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000000481,British Library HMNTS 9006.ee.10.
519,,LONDON,1872,The Author,Lagonells. By the author of Darmayne (F. E. A. [i.e. Florence Emily Ashley]),"A., F. E.","ASHLEY, Florence Emily.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000000519,British Library HMNTS 12637.e.3.
667,,"pp. 40. G. Bryan & Co: Oxford, 1898",,,"The Coming of Spring, and other poems. By J. A. [i.e. J. Andrews.]","A., J.|A., J.","ANDREWS, J. - Writer of Verse",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000000667,British Library HMNTS 011652.g.73.
874,,London],167-,,"A Warning to the inhabitants of England, and London in particular ... By M. A. [i.e. Mary Adams.]",Remaʿ.,"ADAMS, Mary.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000000874,British Library HMNTS 11645.bb.42.
1143,,Λονδίνιον,167-,,A Satyr against Vertue. (A poem: supposed to be spoken by a Town-Hector. [By John Oldham. The preface signed: T. A.]),"A., T.","OLDHAM, John.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000001143,British Library HMNTS 11602.ee.10.(2.)
1280,,Coventry,1802,Printed by J. Turner,"An Account of the many and great Loans, Benefactions and Charities, belonging to the City of Coventry ... A new edition. [The dedication signed: AB, CD, EF, GH, &c. By Edward Jackson and Samuel Carte.]",,"CARTE, Samuel.|JACKSON, Edward - Rector of Southam, and CARTE (Samuel)",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000001280,British Library HMNTS 1430.g.17.
1808,,Christiania,1859,,"Erindringer som Bidrag til Norges Historie fra 1800-1815. Anden Udgave ... Udgivet med nogle Rettelser og Tillæg af Christian C. A. Lange. Med Forfatterens Portraet, og hans Biographi af Amtmand J. C. Aall","AALL, Jacob.","AALL, J. C.|LANGE, Christian Christoph Andreas.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000001808,British Library HMNTS 9425.cc.37.
1905,,Firenze,1888,,Gli Studi storici in terra d'Otranto ... Frammenti estratti in gran parte dall' Archivio Storico Italiano ... a cura e spese di L(uigi) G(iuseppe) D(e) S(imone),"AAR, Ermanno - pseud. [i.e. Luigi Giuseppe Oronzo Mariano Raffaele Francesco Fortunato Felice de Simone.]","S., L. G. D.|SIMONE, Luigi Giuseppe Oronzo Mariano Raffaele Francesco Fortunato Felice de.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000001905,British Library HMNTS 10136.g.22.
1929,,Amsterdam,"1839, 38-54",,De Aardbol. Magazijn van hedendaagsche land- en volkenkunde ... Met platen en kaarten. [Deel 4-9 by P. H. W.],,"WITKAMP, Pieter Harme.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000001929,British Library HMNTS 10002.g.16-19.
2836,,Savona,1897,,Cronache Savonesi dal 1500 al 1570 ... Accresciute di documenti inediti pubblicate e annotate dal dott. G. Assereto,"ABATE, Giovanni Agostino.","ASSERETO, Giovanni.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000002836,British Library HMNTS 10136.h.24.
2854,,New York & London,1865,E. Moxon & Co.,"See-Saw; a novel ... Edited [or rather, written] by W. W. Reade","ABATI, Francesco.","READE, William Winwood.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000002854,British Library HMNTS 12623.bbb.12.
2956,,Paris,1860-63,,"Géodésie d'une partie de la Haute Éthiopie, revue et rédigée par R. Radau. fasc. 1-3","ABBADIE, Antoine Thompson d'.","RADAU, Rodolphe.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000002956,British Library HMNTS 10096.i.19.
2957,,Paris,1873,,[With eleven maps.],"ABBADIE, Antoine Thompson d'.","RADAU, Rodolphe.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000002957,British Library HMNTS 10095.i.13.
3017,"Nueva edicion, anotada ... y continuada ... por J. J. de Acosta y Calbo.",Puerto-Rico,1866,,"[Historia geográfica, civil y politica de la Isla de S. Juan Bautista de Puerto Rico, Dala a luz A. Valladares de Sotomayor.]","ABBAD Y LASIERRA, Agustín Íñigo - Bishop of Barbastro","ACOSTA Y CALBO, José Julian de.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000003017,British Library HMNTS 10480.h.18.
3131,,New York,1899,W. Abbatt,"The Crisis of the Revolution, being the story of Arnold and André now for the first time collected from all sources, and illustrated with views of all places identified with it ... Illustrations from original photographs by E. S. Bennett, etc","ABBATT, William.","ANDRÉ, John - Major|ARNOLD, Benedict.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000003131,British Library HMNTS 9603.g.14.
4598,,Hull,1814,The Author,Peace: a lyric poem. [With prefatory address by F. Wrangham?],"ABBOTT, Thomas Eastoe.","WRANGHAM, Francis.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000004598,British Library HMNTS 11641.f.1.
4884,,London_,1820,J. Hatchard & Son,"Abdallah; or, The Arabian Martyr: a Christian drama, in three acts. [In verse.] [By Thomas Foster Barham, the Elder.]",,"BARHAM, Thomas Foster - the Elder",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000004884,British Library HMNTS 994.l.1.(7.)
4976,"[Another edition.] Abdollatiphi historiæ Ægypti compendium ... Partim ipse vertit, partim a Pocockio versum edendum curavit, notisque illustravit J. White. Arab. & Lat.",Oxonii,1800,"J. Cooke, etc.",[Abdollatiphi Historiæ Ægypti compendium. [With a Latin version by Edward Pocock the younger.] Arab. & Lat.],,"WHITE, Joseph - Canon of Christ Church",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000004976,British Library HMNTS 983.e.6.|British Library HMNTS 148.d.4.|British Library HMNTS G.15137.
5382,,London,"1847, 48 [1846-48]",Punch Office,"The Comic History of England ... With ... coloured etchings, and ... woodcuts, by John Leech","A'BECKETT, Gilbert Abbott.","LEECH, John - Artist",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000005382,British Library HMNTS C.131.d.16.|British Library HMNTS 9505.d.3.
5385,[Another edition.] Illustrated by John Leech.,London,[1897?],"Bradbury, Agnew & Co.","[The comic history of England ... With twenty coloured etchings, and two hundred woodcuts. By John Leech.]","A'BECKETT, Gilbert Abbott.","LEECH, John - Artist",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000005385,British Library HMNTS 9503.f.4.
5389,[Another edition.],London,[1897?],"Bradbury, Agnew & Co.",[The Comic History of Rome ... Illustrated by John Leech.],"A'BECKETT, Gilbert Abbott.","LEECH, John - Artist",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000005389,British Library HMNTS 9039.i.11.
